0	1
0	2
0	3
0	4
0	5
1	0
1	2
1	4
1	5
1	15
2	0
2	11
2	12
2	13
2	14
3	63
3	64
3	65
3	66
3	67
4	7
4	16
4	17
4	18
4	19
5	6
5	7
5	8
5	9
5	10
6	5
6	7
6	8
6	9
6	20
7	5
7	8
7	9
7	30
7	290
8	13
8	21
8	22
8	23
8	24
10	5
10	7
10	137
10	138
10	139
11	6
11	9
11	20
11	25
11	26
12	260
12	261
12	262
12	263
12	264
13	20
13	21
13	23
13	140
13	141
14	13
14	21
14	27
14	28
14	29
15	68
15	69
15	70
15	71
15	72
16	4
16	7
16	19
16	73
16	75
17	6
17	7
17	8
17	30
17	31
18	32
18	33
18	34
18	35
18	36
19	4
19	16
19	73
19	74
19	75
20	6
20	7
20	8
20	23
20	30
21	13
21	23
21	28
21	77
21	164
22	8
22	23
22	37
22	38
22	39
23	8
23	13
23	20
23	111
23	142
24	40
24	41
24	42
24	43
24	44
25	11
25	45
25	46
25	47
26	11
26	265
26	266
26	267
26	268
27	13
27	21
27	76
27	77
27	78
28	20
28	79
28	80
28	81
28	82
29	143
29	144
29	145
29	146
29	147
30	8
30	9
30	48
30	49
30	50
31	9
31	17
31	83
31	84
31	85
32	18
32	51
32	148
32	149
32	150
33	56
33	93
33	94
33	95
33	151
34	18
34	32
34	51
34	52
34	53
35	18
35	33
35	54
35	55
35	56
36	18
36	152
36	153
36	154
36	155
37	8
37	22
37	23
37	97
37	269
38	22
38	270
38	271
38	272
38	273
39	22
39	37
39	38
39	86
39	87
40	8
40	24
40	41
40	42
40	43
41	24
41	40
41	42
41	43
41	44
42	8
42	24
42	40
42	41
42	43
43	24
43	40
43	41
43	42
43	44
44	24
44	40
44	41
44	42
44	43
45	11
45	25
45	46
45	59
45	88
46	11
46	25
46	45
46	59
46	88
47	11
47	25
47	57
47	58
47	59
48	30
48	49
48	156
48	157
48	158
49	30
49	48
49	156
49	157
49	158
50	9
50	30
50	49
50	89
50	90
51	18
51	32
51	34
51	154
51	274
52	34
52	275
52	276
52	277
52	278
53	35
53	54
53	60
53	61
53	62
54	35
54	53
54	60
54	84
54	159
55	35
55	53
55	54
55	91
55	92
56	33
56	93
56	94
56	95
56	96
57	11
57	25
57	47
57	59
57	88
58	11
58	25
58	45
58	47
58	59
59	11
59	25
59	45
59	46
59	88
60	53
60	54
60	159
60	160
60	161
61	35
61	53
61	159
61	162
61	163
62	35
62	53
62	54
62	60
62	159
63	30
63	64
63	97
63	98
63	99
64	63
64	66
64	98
64	279
64	280
65	63
65	66
65	99
65	100
65	101
66	63
66	64
66	65
66	418
66	419
67	30
67	63
67	98
67	118
67	281
69	15
69	72
69	105
69	106
69	420
70	15
70	71
70	102
70	103
70	421
71	15
71	70
71	102
71	103
71	104
72	15
72	69
72	105
72	106
72	107
73	4
73	16
73	19
73	74
73	108
74	4
74	16
74	19
74	73
74	282
75	4
75	16
75	19
75	109
75	110
76	121
76	283
76	284
76	285
76	286
77	28
77	422
77	423
77	424
77	425
78	20
78	23
78	111
78	112
78	113
79	13
79	28
79	81
79	82
79	164
80	8
80	28
80	82
80	97
80	426
81	28
81	285
81	287
81	288
81	289
82	80
82	290
82	291
82	292
82	293
83	17
83	31
83	165
83	166
83	167
84	18
84	31
84	54
84	427
84	428
85	17
85	31
85	168
85	169
85	170
86	22
86	38
86	39
86	87
86	171
87	37
87	39
87	86
87	114
87	115
88	11
88	25
88	45
88	46
88	59
89	30
89	49
89	50
89	90
89	294
90	48
90	50
90	89
90	172
90	173
91	35
91	55
91	92
91	295
91	296
92	35
92	55
92	91
92	295
92	296
93	33
93	56
93	94
93	95
93	297
95	33
95	56
95	93
95	94
95	429
96	33
96	56
96	94
96	95
96	174
97	8
97	63
97	100
97	116
97	117
98	8
98	30
98	63
98	118
98	119
99	8
99	63
99	175
99	176
99	177
100	63
100	97
100	99
100	307
100	430
